连同刚才那一碗，他一共吃了三碗。	他连同刚才那一碗一共吃了三碗。
她在每本书上都签了名字。	每本书上她都签了名字。
他吃烤鸭吃胖了。	他因为吃烤鸭胖了。
老人家把看病的事给耽误了。	看病的事被老人家耽误了。
他已经通知了所有人。	他已经通知所有人了。
2001年的白庙尚且如此贫穷，六年之前就更是可想而知了。	2001年的白庙尚且如此贫穷，可以想象六年之前是什么样子。
屋子前面有一口井。	在屋子前面有一口井。
晒太阳的人们。	人们在晒太阳。
改革开放的热潮一浪高过一浪。	改革开放的热潮一波比一波高。
只要她一去接电话，孩子就会大哭大闹。	只要她一去接电话，孩子便会大哭大闹。
我希望他去北京。	北京，我希望他去。
雷锋精神不但没有过时，而且永远不会过时。	雷锋精神不仅现在没有过时，而且以后也不会过时。
还欠三万块钱没有还。	还剩三万块钱没有还。
我们有能力打进决赛。	打进决赛，我们是有能力的。
这一次，投资者仅仅是“有望收回成本”，换句话说，很可能赔本！	这一次，投资者仅仅是“有望收回成本”，也就是说，很可能赔本！
咱俩谁跟谁呀。	我们俩关系好呀。
东西全给他吃光了。	他把所有的东西吃完了。
这就是小王看完书的地方。	这是小王看完书的地方。
杯子是空的。	杯子里什么都没有。
他没看电影。	他一场电影没看。
他刚才暧昧地瞅了小红一眼。	他刚才暧昧地看了小红一眼。
因为一点小矛盾，彼此就不再来往了。	因为一点小矛盾，所以彼此就不再来往了。
他已经通知了所有人。	所有人已经被他通知了。
用的放在桌子上，不用的放在一边。	要用的放桌子上，其他放在一边。
只要她一去接电话，孩子就会大哭大闹。	她一去接电话，孩子便会大哭大闹。
他爸爸嘛，从早到晚都不沾家。	他爸爸从早到晚都不在家。
他讲了至多十分钟。	他顶多讲了十分钟。
做个群众演员不但是未来做主角的必经之路，而且是在北京生存的打工方式之一。	做个群众演员是未来做主角的必经之路，也是在北京生存的打工方式之一。
小赵知道得多。	小赵知道很多。
必须尽快改变现状，否则我真的没有出路了。	想要有出路，我必须尽快改变现状。
这碗汤喝了我一头汗。	我一头的汗是因为喝了这一碗汤。
你喝汤不喝汤？	你喝汤不？
她傲慢地环视了一下会场。	她傲慢地扫了一下会场。
还了他五十块钱。	还给了他五十元钱。
东西全给吃光了。	东西全被吃光了。
丽丽哭红了眼睛。	因为哭，丽丽的眼睛红了。
雷锋精神不但没有过时，而且永远不会过时。	雷锋精神没有过时，永远不会过时。
他让我们笑疼了肚子。	我们让他逗得笑疼了肚子。
在休息室里，大家谈得很高兴。	大家在休息室里谈得很高兴。
因获奖而成名。	因获奖而成名人。
予以办理手续。	给办手续。
我休礼拜出去玩儿，没留神让老虎给吃了。	我休礼拜出去玩儿，没留神被老虎给吃了。
老实说我手头没有那本书。	说真的我现在手头没有那本书。
女教官教我们如何在险恶多变的环境中战胜困难，最终完成任务。	女教官教我们在险恶的环境中如何战胜困难，最终完成任务。
原来我也有枝这样的笔来着。	我原来与你有一样的笔。
不管荤的、素的都没个完。	不管荤的、素的都没个数。
这些东西可能被雨弄湿了。	雨可能弄湿了这些东西。
他懒得去逛公园。	他不愿去逛公园。
他吃螃蟹吃病了。	他因为吃螃蟹病了。
在困难面前，或者当个懦弱的逃兵，或者做个勇猛的战士。	在困难面前，要么做个勇猛的战士，要么当个懦弱的逃兵。
看的书都放在桌子上。	桌子上都是要看的书。
他讲了至多十分钟。	他讲的超不过十分钟。
没个错，你不用骗自己。	你没有错，不用骗自己。
冬天过去了，春天就会来到。	冬天过去后，春天就会来到。
把纸撕了。	撕了纸。
他的数学不怎么好。	他的数学不太好。
塑料不腐烂分解是一大长处，因为当塑料垃圾被深埋时，他永远不会变成任何有毒的化学物质污染人类生存的环境，而且即便被焚烧，大部分塑料也不会释放出有毒气体。	由于塑料垃圾被深埋时，他永远不会变成任何有毒的化学物质污染人类生存的环境，而且即便被焚烧，大部分塑料也不会释放出有毒气体，所以塑料不腐烂分解是一大长处。
是主动迎接挑战，还是高挂免战牌？	是高挂免战牌，还是主动迎接挑战？
这个问题讨论了我们半天。	这个问题被我们用半天来讨论了。
处处我都检查过了。	我检查了每处。
任凭风吹浪打，都毫不动摇。	任凭风吹浪打，还是毫不动摇。
不应该只看到个别动作像不像，而是要看舞蹈中表现的情感可能不可能存在。	不应该只看到个别动作像不像，而是要看舞蹈中表现的情感能否存在。
他这种常年闯荡江湖的人什么样的风浪没经历过。	什么样的风浪，他这种常年闯荡江湖的人都经历过了。
关于培训的具体时间，我们还没有确定下来。	我们还没有确定下来培训的具体时间。
我爸非打死我不可。	我爸要打死我。
风遇到防护林，速度就减少了百分之七十到八十。到了距离防护林等于林木高度二十米的地方，风速又恢复原来的强度。所以防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。	风的速度遇到防护林就减少了百分之七十到八十。到了距离为林木高度二十倍的地方，风速又恢复原来的强度。因而防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。
他吃螃蟹吃病了。	吃螃蟹把他吃病了。
你能把门打开吗？	请你把门打开吧？
我呢，一天到晚就爱看书。	我一天到晚就爱看书。
路上有许多人在赶路。	许多人在赶路。
他付了我们100块钱。	他支付了我们一百块钱。
飞碟！	不明飞行物！
她的漂亮打动了每一个人。	每一个人都被她的漂亮打动了。
她都去了三次了。	她一连去了三次。
人人都看见她了。	大家都看见她了。
噢，我来这儿搞个采访。	我到这采访。
唐代有个诗人。这个诗人叫李白。	有个唐代诗人叫李白。
这样不仅可以帮助人家解一时的燃眉之急，还可以借机先锻炼一下自己。	这样不但可以帮助人家解一时的燃眉之急，而且还可以借机先锻炼一下自己。
别出声！	不要出声！
注意左转车辆！	小心左转车辆！
今天比较冷。	今天特别冷。
杯子被他打破了。	他打破了杯子。
他送了汪老师一张贺卡。	他送了一张贺卡给汪老师。
我能把这块大石头举起来。	我能举起这块大石头。
风遇到防护林，速度就减少了百分之七十到八十。到了距离防护林等于林木高度二十米的地方，风速又恢复原来的强度。所以防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。	风的速度遇到防护林就减少了百分之七十到八十。到了距离为林木高度二十倍的地方，风速又恢复原来的强度。所以防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。
不管你说什么，他总是听不进去。	任凭你说什么，他都听不进去。
那张桌子三条腿。	那张桌子是三条腿的。
给我唱一首歌。	唱一首歌给我。
卖了一批设备给工厂。	卖给了工厂一批设备。
柜子叫小弟给翻得乱七八糟。	柜子给小弟翻得乱七八糟。
那个小姑娘蓝眼睛。	那个小姑娘是蓝眼睛。
这件事没有商量头儿，你们必须照办。	这件事没什么好商量的，你们必须照办。
小王被领导批评的时候，他还在笑呢。	领导批评了正在笑的小王。
你要好好休息啊。	你一定要好好休息呀！
他说起话来没个完。	他很喜欢说话。
恨不得把一分钱掰成两半花。	一分钱被掰成两半花。
王军他如何也在这里？	王军怎么也在这里？
詹先生虽然可以给她带来物质上的富足，却无法给她带来真正的幸福。	詹先生虽然可以给她带来物质上的富足，但无法给她带来真正的幸福。
你们什么时候结的婚？	你们什么时候结婚了？
她今天恐怕不会来了。	估计今天她不会来了。
别把愁事憋在心里。	愁事不要憋在心里。
细心的室友姚萌看出了陈晓澜的心思。	细心的室友姚萌把陈晓澜的心思看出来了。
美死了！	好高兴！
不管你说什么，他总是听不进去。	无论你说什么，他总是听不进去。
地球绕着太阳公转，同时又绕着他自己的地轴不停的自转。	地球绕着太阳公转的同时又绕着他自己的地轴不停的自转。
这次我只考了80分，你呢？	我只考了80分，你呢？
钱包别给小偷偷了。	别叫小偷偷了钱包。
他把这批货卖掉了一大半。	这批货的一大半被他卖掉了。
人家让老先生亲自送来，我好意思不收下吗？	人家让老先生亲自送来，我不好意思不收下？
小明在家务上给妈妈帮了不少忙。	在家务上小明给妈妈帮了不少忙。
他不但没有和大家一起撤离，相反却留下来参加了抢险队。	他不仅没和大家一起撤离，反而却留下来参加了抢险队。
当然是选择原谅她啊。	她肯定可以被原谅。
他偷了小王一辆自行车。	小王的自行车被他偷了。
通货膨胀是一种货币现象，过量的货币追逐有限的商品。	通货膨胀是一种货币现象，即过量的货币追逐有限的商品。
他犯了一点错误。	他一点错误没犯。
我写信写了一个晚上。	这封信被我写了一个晚上。
这把刀我切肉。	我用这把刀切肉。
他花光了钱。	他把钱花光了。
我没去，我怎么知道她在不在场呢？	我没去，所以我不知道她在不在场？
必须尽快改变现状，否则我真的没有出路了。	必须尽快改变现状，我才有出路。
原来我也有枝这样的笔来着。	以前我也有枝这样的笔。
他教我们化学。	我们的化学老师是他。
他这个人死要面子，哪里会认错。	他这个人不会认错，因为他死要面子。
任凭风吹浪打，都毫不动摇。	不管风吹浪打，还是毫不动摇。
老林被他说服了。	他说服了老林。
宁可血战到底，也不放弃每一寸阵地。	宁愿血战到底，也不放弃每一寸阵地。
缺不了你的钱花。	短不了你花的钱。
他刚走了两个钟头你就回来了。	你回来之前的两个小时时候他就走了。
我羊肉不吃，吃牛肉。	我吃牛肉不吃羊肉。
这笔钱我还他。	他这笔钱，我来还。
我和老李一起完成了任务。	老李和我一起完成了任务。
我做题做了三个小时。	我做了三个小时的题。
寄了一笔钱给妈妈。	给妈妈寄了一笔钱。
他付了我们100块钱。	他给了我们100快钱。
这个国家的政府，一方面谴责美国对伊拉克的军事占领，另一方面又主动向美国控制下的伊拉克临时管理委员会示好。	这个国家的政府，一方面谴责美国对伊拉克的军事占领，另一方面又向美国控制下的伊拉克临时管理委员会主动示好。
他吧，从小就爱看小说。	他从小时候就爱看小说。
我没看见你的钢笔。	你的钢笔我没看见。
这两个问题不同。	这两个问题不一样。
度假我们去海南，还是去马尔代夫？	我们去海南度假，还是去马尔代夫度假？
寄了一笔钱给妈妈。	给妈妈寄了一笔钱给她。
他一下班就走了。	他下班就离开了。
我呢，一天到晚就爱看书。	一天到晚我就爱看书。
颗颗都挂了果。	每课树上都有果子。
这个国家的政府，一方面谴责美国对伊拉克的军事占领，另一方面又主动向美国控制下的伊拉克临时管理委员会示好。	这个国家的政府，一边谴责美国对伊拉克的军事占领，一边又主动向美国控制下的伊拉克临时管理委员会示好。
我刚来了一会儿。	我来了才一会。
杯子里面的水。	水在杯子里面。
阳春四月，平原地区的桃花早就凋谢了，可是这里却仍然是一片绯红，桃花含苞欲放，艳丽多姿。	阳春四月，尽管平原地区的桃花早就凋谢了，可是这里却仍然是一片绯红，桃花含苞欲放，艳丽多姿。
他下楼了，在门口买了几个面包，塞在书包里，然后去了图书馆。	他下楼后在门口买了几个面包，把面包塞在书包里，然后去了图书馆。
予以办理手续。	手续予以办理。
我写信写了一个晚上。	我用一个晚上在写信。
缺不了你的钱花。	短不了你的钱花。
老李大概现在正在看报呢。	大概老李现在正在看报呢。
我借给了小王两本小说。	小王从我这里借了两本书。
年轻时我也漂亮过。	我年轻时也漂亮过。
他的身体不如从前硬朗了。	他的身体不如从前了。
他这些日子不知怎么着，经期有两个多月没来。叫大夫瞧了，又说并不是喜。	她这段日子不知道怎么了，两个多月没来例假，去看了医生，医生说并不是有喜了。
吃饱了饭。	我把饭吃饱了。
她喜欢大的。	大的她才喜欢。
一喝就醉。	一喝酒就醉。
得一个奖乐半天。	中一个奖高兴了半天。
你不觉得我们的战士很可爱吗？	你觉得我们的战士很可爱？
这个问题的答案比较明显。	这个问题的答案较为明显。
让了一个座位给老人。	给老人让了一个座位。
这叫你说着了。	这让你说着了。
杯子被他打破了。	他把杯子打破了。
对手被我们打败。	我们打败对手。
不知不觉我学会了广州话，而且说的还不错。	我不光不知不觉学会了广州话，而且说的还不错。
他懒得去逛公园。	公园他懒得去逛。
姐姐比我聪明多了。	我没有姐姐聪明。
这个公园逛了我们一个下午。	这个公园我们逛了一个下午。
在悬崖峭壁间开辟出一条路来尚且不易，更何况是修建寺庙！	在悬崖峭壁间开辟出一条路来已经不易，更别说修建寺庙！
风遇到防护林，速度就减少了百分之七十到八十。到了距离防护林等于林木高度二十米的地方，风速又恢复原来的强度。所以防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。	遇到防护林，风的速度固然就减少了百分之七十到八十，可是到了距离为林木高度二十倍的地方，风速又恢复原来的强度。因此防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的二十倍。
句句都说到了我的心窝里。	每句都说到了我的心坎里。
他卖了我一只小狗。	他给我卖了一只小狗。
他下楼了，在门口买了几个面包，塞在书包里，然后去了图书馆。	他下楼了，在门口买了几个面包，把面包塞在书包里，然后去了图书馆。
刚一进门，我就发现今天的气氛不太一样。	我刚一进门，就发现今天的气氛有异样。
风停了，雨住了。	风停了后，雨住了。
实际上，当地政府多年来对市场别说干预，连辅助性的行为都很少。	实际上，当地政府多年来对市场的辅助性行为尚且很少，更何况干预。
这种鸡，既可以像饲养普通鸡那样进行笼养，也可以放养。	这种鸡，既可以像饲养普通鸡那样进行笼养，又可以放养。
没你这么不讲道理的。	你太不讲道理。
把犯人跑了。	犯人给跑了。
这位同学我没有跟他说过话。	我没跟这位同学说过话。
我看见了你的钢笔。	你的钢笔我看见了。
他把车开得太快了。	车被他开的太快了。
我写好信的时候她已经睡着了。	她睡着以后，我才些好了信。
她傲慢地环视了一下会场。	傲慢的她傲慢地环视了一下会场。
他们家平常不外出旅游。	他们家平常不太外出旅游。
我吃饭吃了八百块钱。	我吃饭花了800元。
他跑的比我快。	我没他跑得快。
他付了我们100块钱。	一百块钱被他付给了我们。
再折腾也没用。	不管怎么折腾也没用。
买来的面包将够数。	买来的面包刚够数。
你喜欢看电影，还是喜欢看电视剧？	你喜欢看电视剧，还是电影？
他一边上学，一边打工挣学费。	他上学的同时也打工挣学费。
我始终坚持认为，雷锋精神不但没有过时，而且永远不会过时。	我始终坚持认为，雷锋精神不仅没有过时，而且永远不会过时。
有一种爱叫放手。	放手是一种爱。
寄了一笔钱给妈妈。	给妈妈寄了一笔钱过去。
小马悲痛地望着他。	小马伤心地望着他。
这一次，投资者仅仅是“有望收回成本”，换句话说，很可能赔本！	这一次，投资者仅仅是“有望收回成本”，很可能赔本！
只有做了广泛深入的调查研究，才可能得出让人们信服的结论。	唯有做了广泛深入的调查研究，才可能得出让人们信服的结论。
这张书桌没四尺长。	这张桌子不到四尺长。
我今天的报还没有看呢。	我还没看今天的报。
除非能证明他当时在现场，否则此事与他无关。	除非能证明当时他在现场，否则他与此事无关。
出门在外没个不累的。	出门在外都很累。
给我唱一首歌。	为我唱一首歌。
这道题做了我三个小时。	做这道题我用了3个小时。
我曾经跟他在一起工作过三年。	我们曾经当过三年的同事。
如果是一个贪图财物享受的人，他就不会天天把自己关在书斋里做学问了。	若是一个贪图财物享受的人，他便不会天天把自己关在书斋里做学问了。
做饭没有什么奥秘。	做饭挺简单。
那些荔枝他吃了不少。	那些荔枝不少都是他吃的。
他把车开得太快了。	他把车开的速度太快了。
一不做二不休。	要么不做，做了就要做到底。
他已经通知了所有人。	所有人都收到了他的通知。
轮番的轰炸后，这个美丽的小镇被夷为平地。	轮番的轰炸炸平了这个美丽的小镇。
通过翻译，我们交谈了半个小时。	我们通过翻译交谈了半个小时。
钱放在手里贬值太厉害，不如拿出去投资。	钱放在手里贬值太厉害，要拿出去投资。
他被老师批评了一顿。	老师批评了他一顿。
玩了个痛快。	玩了个爽快。
门给风吹开了。	门被风吹开了。
不管我们如何好说歹说，他却仍然是无动于衷。	不管我们怎么好说歹说，他却仍然是无动于衷。
我妈妈姓冯，我爸爸也姓冯。	我爸爸姓冯，我妈妈也姓冯。
洗衣机把衣服洗坏了。	衣服被洗衣机洗坏了。
他们这些捏笔杆子的也会种庄稼。	他们这些文人也能种庄稼。
不知道这句话是谁说的，不过，这并不重要。	是谁说的这句话并不重要。
这样不仅可以帮助人家解一时的燃眉之急，还可以借机先锻炼一下自己。	这样不光可以帮助人家解一时的燃眉之急，而且还可以借机先锻炼一下自己。
他叫汽车撞倒了。	他被汽车撞了。
向前看。	往前看。
不知不觉我学会了广州话，而且说的还不错。	不知不觉我学会了广州话，说的还不错。
饺子全让他吃光了。	饺子全给他吃光了。
刚一进门，我就发现今天的气氛不太一样。	刚一进门，我就发现今天的气氛有异样。
他乐坏了。	他太高兴了。
不光大家伙都省事，你自己也可以少跑两趟嘛。	不光大家伙都省事，而且你自己可以少跑两趟嘛。
杯子刚刚被他打破了。	刚刚，他打破了杯子。
姐姐比我聪明多了。	姐姐和我相比，她比较聪明。
墙角站着一个人。	一个人站在墙角。
我们春天常去旅游。	春天我们经常出去旅游。
我给他打扫了一个地方睡觉。	我打扫了一个地方让他睡觉。
通过宏观调控，既保持了经济快速发展的良好势头，又纠正了经济增长过程中的不健康因素。	通过宏观调控，保持了经济快速发展的良好势头，也纠正了经济增长过程中的不健康因素。
我一定把驾驶执照考下来，只要你给我时间。	如果你给我时间，我就一定把驾驶执照考下来。
那人看着都乏味。	那人看着就没意思。
必须尽快改变现状，否则我真的没有出路了。	只有尽快改变现状，否则我真的没有出路了。
不光大家伙都省事，你自己也可以少跑两趟嘛。	不但大家伙都省事，你自己还可以少跑两趟嘛。
他一边上学，一边打工挣学费。	他又上学，又打工挣学费。
闹绯闻也成了名。	因绯闻而成名。
什么事语法？简单的说，就是组词造句的规则。	简单的说，语法就是组词造句的规则。
雷锋精神不但没有过时，而且永远不会过时。	雷锋精神现在和以后都不会过时。
孙中山，广东人。	孙中山是广东人。
吃饱了饭。	饭吃饱了。
小明替妈妈做饭。	小明做饭替妈妈。
安静！	别说话！
这半年小姑娘高了不少。	小姑娘这半年高了不少。
除非能证明他当时在现场，否则此事与他无关。	只有证明他当时在现场，才能说此事与他相关。
这箱子轻不了。	这箱子重。
约翰给玛丽拿了一本书。	约翰拿了一本书给玛丽。
老人家把看病的事给耽误了。	老人家耽误了看病的事。
你没把鱼缸清理干净。	你没清理干净鱼缸。
动物冬眠时，新陈代谢并未停止，只不过非常缓慢。	动物冬眠时，新陈代谢并未停止，只是非常缓慢。
不知道这句话是谁说的，不过，这并不重要。	不知道是谁说的这句话，不过，这并不重要。
桂花别提有多香。	桂花很香。
我借给了小王两本小说。	我的两本小说被小王借走了。
你不是一个俗人。	你不俗。
他们家死了一盆花。	一盆花死在他们家。
我用这把刀切肉。	这把刀被我拿来切肉。
有劲没处使。	有才能没地方用。
资金感到充足。	感觉资金充裕。
隔五米种一棵树。	种树的间隔是五米。
凡是玩的事儿，没他不参加的。	玩的事儿他都参加。
丽丽哭红了眼睛。	丽丽哭，红了眼睛。
其实我们的关系并没有公开。	其实没有公开我们的关系。
既然情况都了解清楚了，为什么却还要死抓住人家这些小问题不放呢？	既然情况都了解清楚了，为什么还不放过人家这些小问题呢？
我休礼拜出去玩儿，没留神让老虎给吃了。	我休礼拜出去玩儿，没留神被老虎吃了。
她坚决不去，除非你陪她去。	只有你陪她去，否则她坚决不去。
千万别大意！	一定不要粗心！
我看了会电视，又听了会音乐，这才回房间睡觉。	我先看了会电视，接着听了会音乐，最后才回房间睡觉。
他好像只通知了小王一个人。	估计他只通知了小王一个人。
我给了她一只笔。	我把一支笔给了她。
我们在哪些地方做的不对，或者不够令人满意？	哪些地方我们做的不够令人满意？
她上次来姥姥家过暑假的时候，还是个小学生呢。	她上次来姥姥家过暑假时，还是个小学生。
关于培训的具体时间，我们还没有确定下来。	培训的具体时间，我们还没有确定下来。
我一共给了小王五十块钱。	我一共给了五十块钱给小王。
我知道他来。	他来我知道。
我刚从图书馆回来。	我刚回来从图书馆。
老杨这样的大厨红烧鱼算得了什么。	红烧鱼对老杨这样的大厨来说，很简单。
这车进口的。	这车是外国产的。
他花光了钱。	他花完了所有的钱。
人家主动帮助你又什么不好？	人家主动帮助你没什么不好啊？
帽子呢？	帽子在哪？
一根烟他都没有抽过。	他没抽过烟。
句句都说到了我的心窝里。	每句话都触动了我的心底。
在困难面前，或者当个懦弱的逃兵，或者做个勇猛的战士。	在困难面前，不是做个勇猛的战士，就是当个懦弱的逃兵。
你们拿了人家不少好处。	从人家那你们拿了不少好处。
质量好极了。	质量相当好。
度假我们去海南，还是去马尔代夫？	我们度假去海南，还是去马尔代夫？
小爽听到楼道里的人来人往，看看闹钟已经九点了，这才懒洋洋地爬起来，去敲隔壁伍静的门。	听到楼道里的人来人往，看看闹钟已经九点了，小爽这才懒洋洋地爬起来，去敲隔壁伍静的门。
他把这批货卖掉了一大半。	这批货被他卖掉了一大半。
他已经通知了所有人。	所有人已经通知到位。
他已经通知了所有人。	所有人都已经被他通知了。
考试是手段，而不是目的。	考试是手段，不是目的。
因获奖而成名。	因获奖而成了名。
度假我们去海南，还是去马尔代夫？	我们去马尔代夫度假，还是去海南度假？
三班的跟我走！	跟我走吧！三班的！
书上写着名字。	名字在书上写着。
他拒绝回答这个问题。	他不愿回答这个问题。
这样的处理打破了历来的规矩。	这样的做法破坏了历来的规矩。
这样不仅可以帮助人家解一时的燃眉之急，还可以借机先锻炼一下自己。	这样可以帮助人家解一时的燃眉之急，可以借机先锻炼一下自己。
这件事情她亲爸也没办法。	这件事她亲爸也解决不了。
这种鸡，既可以像饲养普通鸡那样进行笼养，也可以放养。	这种鸡，既可以进行笼养像饲养普通鸡那样，也可以放养。
她马上傲慢地环视了一下会场。	她马上傲慢地看了一下会场。
他没往家里寄过半分钱。	他从未往家里寄过钱。
他高兴坏了。	他太高兴了。
小王看完了书。	书被小王看完了。
门给吹开了。	门被风吹开了。
那些荔枝他吃了不少。	那些荔枝他吃了很多。
他修好了电脑。	他把电脑修好了。
谁都知道事情的真相。	没有人不知道事情的真相。
别把身体累垮了。	别累垮了身体。
她吃坏了肚子。	她的肚子被她吃坏了。
她在每本书上都签了名字。	每本书上都签了她的名字
他们厂上个月从欧洲购进了一批先进的设备。	他们厂上个月从欧洲购进了一批先进的设备。
我看电影看了八十块钱。	那场电影要看我八十块钱。
那今晚我请你去看电影好了，只是不知道你的女朋友会不会介意。	那今晚我请你去看电影好了，只是得确定你的女朋友会不会介意。
通货膨胀是一种货币现象，过量的货币追逐有限的商品。	通货膨胀是一种货币现象，也就是说过量的货币追逐有限的商品。
他喝酒喝多了。	他喝多了酒。
